pokemon,lvl,move,type,power,accuracy,crit
Clefairy,,Rollout,Rock,30,0.9,False
Clefairy,,Zap Cannon,Electric,100,0.5,False
Clefairy,,Hidden Power,Normal,60,1.0,False
Clefairy,,Snore,Normal,40,1.0,False
Clefairy,,Blizzard,Ice,120,0.7,False
Clefairy,,Iron Tail,Steel,100,0.75,False
Clefairy,,Thunder,Electric,120,0.7,False
Clefairy,,Return,Normal,102,1.0,False
Clefairy,,Psychic,Psychic,90,1.0,False
Clefairy,,Shadow Ball,Ghost,80,1.0,False
Clefairy,,Mud-Slap,Ground,20,1.0,False
Clefairy,,Ice Punch,Ice,75,1.0,False
Clefairy,,Fire Blast,Fire,120,0.85,False
Clefairy,,ThunderPunch,Electric,75,1.0,False
Clefairy,,Fire Punch,Fire,75,1.0,False
Clefable,1.0,DoubleSlap,Normal,15,0.85,False
Clefable,,Strength,Normal,80,1.0,False
Clefable,,DynamicPunch,Fighting,100,0.5,False
Clefable,,Headbutt,Normal,70,1.0,False
Clefable,,Rollout,Rock,30,0.9,False
Clefable,,Zap Cannon,Electric,100,0.5,False
Clefable,,Hidden Power,Normal,60,1.0,False
Clefable,,Snore,Normal,40,1.0,False
Clefable,,Blizzard,Ice,120,0.7,False
Clefable,,Hyper Beam,Normal,75,0.9,False
Clefable,,Iron Tail,Steel,100,0.75,False
Clefable,,Thunder,Electric,120,0.7,False
Clefable,,Return,Normal,102,1.0,False
Clefable,,Psychic,Psychic,90,1.0,False
Clefable,,Shadow Ball,Ghost,80,1.0,False
Clefable,,Mud-Slap,Ground,20,1.0,False
Clefable,,Ice Punch,Ice,75,1.0,False
Clefable,,Fire Blast,Fire,120,0.85,False
Clefable,,ThunderPunch,Electric,75,1.0,False
Clefable,,Fire Punch,Fire,75,1.0,False
Cleffa,1.0,Pound,Normal,40,1.0,False
Cleffa,,Headbutt,Normal,70,1.0,False
Cleffa,,Rollout,Rock,30,0.9,False
Cleffa,,Zap Cannon,Electric,100,0.5,False
Cleffa,,Hidden Power,Normal,60,1.0,False
Cleffa,,Snore,Normal,40,1.0,False
Cleffa,,Icy Wind,Ice,55,0.95,False
Cleffa,,Iron Tail,Steel,100,0.75,False
Cleffa,,Return,Normal,102,1.0,False
Cleffa,,Psychic,Psychic,90,1.0,False
Cleffa,,Shadow Ball,Ghost,80,1.0,False
Cleffa,,Mud-Slap,Ground,20,1.0,False
Cleffa,,Fire Blast,Fire,120,0.85,False
Vulpix,1.0,Ember,Fire,40,1.0,False
Vulpix,7.0,Quick Attack,Normal,40,1.0,False
Vulpix,31.0,Flamethrower,Fire,95,1.0,False
Vulpix,37.0,Fire Spin,Fire,15,0.7,False
Vulpix,,Headbutt,Normal,70,1.0,False
Vulpix,,Hidden Power,Normal,60,1.0,False
Vulpix,,Snore,Normal,40,1.0,False
Vulpix,,Iron Tail,Steel,100,0.75,False
Vulpix,,Return,Normal,102,1.0,False
Vulpix,,Dig,Ground,60,1.0,False
Vulpix,,Fire Blast,Fire,120,0.85,False
Vulpix,,Swift,Normal,60,1.0,False
Ninetales,1.0,Ember,Fire,40,1.0,False
Ninetales,1.0,Quick Attack,Normal,40,1.0,False
Ninetales,43.0,Fire Spin,Fire,15,0.7,False
Ninetales,,Headbutt,Normal,70,1.0,False
Ninetales,,Hidden Power,Normal,60,1.0,False
Ninetales,,Snore,Normal,40,1.0,False
Ninetales,,Hyper Beam,Normal,75,0.9,False
Ninetales,,Iron Tail,Steel,100,0.75,False
Ninetales,,Return,Normal,102,1.0,False
Ninetales,,Dig,Ground,60,1.0,False
Ninetales,,Fire Blast,Fire,120,0.85,False
Ninetales,,Swift,Normal,60,1.0,False
Jigglypuff,9.0,Pound,Normal,40,1.0,False
Jigglypuff,19.0,Rollout,Rock,30,0.9,False
Jigglypuff,24.0,DoubleSlap,Normal,15,0.85,False
Jigglypuff,34.0,Body Slam,Normal,85,1.0,False
Jigglypuff,,Strength,Normal,80,1.0,False
Jigglypuff,,DynamicPunch,Fighting,100,0.5,False
Jigglypuff,,Headbutt,Normal,70,1.0,False
Jigglypuff,,Zap Cannon,Electric,100,0.5,False
Jigglypuff,,Hidden Power,Normal,60,1.0,False
Jigglypuff,,Snore,Normal,40,1.0,False
Jigglypuff,,Blizzard,Ice,120,0.7,False
Jigglypuff,,Thunder,Electric,120,0.7,False
Jigglypuff,,Return,Normal,102,1.0,False
Jigglypuff,,Psychic,Psychic,90,1.0,False
Jigglypuff,,Shadow Ball,Ghost,80,1.0,False
Jigglypuff,,Mud-Slap,Ground,20,1.0,False
Jigglypuff,,Ice Punch,Ice,75,1.0,False
Jigglypuff,,Fire Blast,Fire,120,0.85,False
Jigglypuff,,ThunderPunch,Electric,75,1.0,False
Jigglypuff,,Fire Punch,Fire,75,1.0,False
Wigglytuff,1.0,DoubleSlap,Normal,15,0.85,False
Wigglytuff,,Strength,Normal,80,1.0,False
Wigglytuff,,DynamicPunch,Fighting,100,0.5,False
Wigglytuff,,Headbutt,Normal,70,1.0,False
Wigglytuff,,Rollout,Rock,30,0.9,False
Wigglytuff,,Zap Cannon,Electric,100,0.5,False
Wigglytuff,,Hidden Power,Normal,60,1.0,False
Wigglytuff,,Snore,Normal,40,1.0,False
Wigglytuff,,Blizzard,Ice,120,0.7,False
Wigglytuff,,Hyper Beam,Normal,75,0.9,False
Wigglytuff,,Thunder,Electric,120,0.7,False
Wigglytuff,,Return,Normal,102,1.0,False
Wigglytuff,,Psychic,Psychic,90,1.0,False
Wigglytuff,,Shadow Ball,Ghost,80,1.0,False
Wigglytuff,,Mud-Slap,Ground,20,1.0,False
Wigglytuff,,Ice Punch,Ice,75,1.0,False
Wigglytuff,,Fire Blast,Fire,120,0.85,False
Wigglytuff,,ThunderPunch,Electric,75,1.0,False
Wigglytuff,,Fire Punch,Fire,75,1.0,False
Igglybuff,9.0,Pound,Normal,40,1.0,False
Igglybuff,,Headbutt,Normal,70,1.0,False
Igglybuff,,Rollout,Rock,30,0.9,False
Igglybuff,,Zap Cannon,Electric,100,0.5,False
Igglybuff,,Hidden Power,Normal,60,1.0,False
Igglybuff,,Snore,Normal,40,1.0,False
Igglybuff,,Icy Wind,Ice,55,0.95,False
Igglybuff,,Return,Normal,102,1.0,False
Igglybuff,,Psychic,Psychic,90,1.0,False
Igglybuff,,Shadow Ball,Ghost,80,1.0,False
Igglybuff,,Mud-Slap,Ground,20,1.0,False
Igglybuff,,Fire Blast,Fire,120,0.85,False
Zubat,1.0,Leech Life,Bug,20,1.0,False
Zubat,12.0,Bite,Dark,60,1.0,False
Zubat,27.0,Wing Attack,Flying,60,1.0,False
Zubat,,Hidden Power,Normal,60,1.0,False
Zubat,,Snore,Normal,40,1.0,False
Zubat,,Giga Drain,Grass,60,1.0,False
Zubat,,Return,Normal,102,1.0,False
Zubat,,Swift,Normal,60,1.0,False
Zubat,,Thief,Dark,40,1.0,False
Zubat,,Steel Wing,Steel,70,0.9,False
Golbat,1.0,Leech Life,Bug,20,1.0,False
Golbat,12.0,Bite,Dark,60,1.0,False
Golbat,30.0,Wing Attack,Flying,60,1.0,False
Golbat,,Hidden Power,Normal,60,1.0,False
Golbat,,Snore,Normal,40,1.0,False
Golbat,,Hyper Beam,Normal,75,0.9,False
Golbat,,Giga Drain,Grass,60,1.0,False
Golbat,,Return,Normal,102,1.0,False
Golbat,,Swift,Normal,60,1.0,False
Golbat,,Thief,Dark,40,1.0,False
Golbat,,Steel Wing,Steel,70,0.9,False
Crobat,1.0,Leech Life,Bug,20,1.0,False
Crobat,12.0,Bite,Dark,60,1.0,False
Crobat,30.0,Wing Attack,Flying,60,1.0,False
Crobat,,Fly,Flying,70,0.95,False
Crobat,,Hidden Power,Normal,60,1.0,False
Crobat,,Snore,Normal,40,1.0,False
Crobat,,Hyper Beam,Normal,75,0.9,False
Crobat,,Giga Drain,Grass,60,1.0,False
Crobat,,Return,Normal,102,1.0,False
Crobat,,Swift,Normal,60,1.0,False
Crobat,,Thief,Dark,40,1.0,False
Crobat,,Steel Wing,Steel,70,0.9,False
Oddish,1.0,Absorb,Grass,20,1.0,False
Oddish,23.0,Acid,Poison,40,1.0,False
Oddish,39.0,Petal Dance,Grass,70,1.0,False
Oddish,,Cut,Normal,50,0.95,False
Oddish,,Hidden Power,Normal,60,1.0,False
Oddish,,Snore,Normal,40,1.0,False
Oddish,,Giga Drain,Grass,60,1.0,False
Oddish,,Return,Normal,102,1.0,False
Oddish,,Sludge Bomb,Poison,90,1.0,False
Gloom,1.0,Absorb,Grass,20,1.0,False
Gloom,24.0,Acid,Poison,40,1.0,False
Gloom,44.0,Petal Dance,Grass,70,1.0,False
Gloom,,Cut,Normal,50,0.95,False
Gloom,,Hidden Power,Normal,60,1.0,False
Gloom,,Snore,Normal,40,1.0,False
Gloom,,Giga Drain,Grass,60,1.0,False
Gloom,,Return,Normal,102,1.0,False
Gloom,,Sludge Bomb,Poison,90,1.0,False
Vileplume,1.0,Absorb,Grass,20,1.0,False
Vileplume,1.0,Petal Dance,Grass,70,1.0,False
Vileplume,,Cut,Normal,50,0.95,False
Vileplume,,Hidden Power,Normal,60,1.0,False
Vileplume,,Snore,Normal,40,1.0,False
Vileplume,,Hyper Beam,Normal,75,0.9,False
Vileplume,,Giga Drain,Grass,60,1.0,False
Vileplume,,Return,Normal,102,1.0,False
Vileplume,,Sludge Bomb,Poison,90,1.0,False
Paras,1.0,Scratch,Normal,40,1.0,False
Paras,19.0,Leech Life,Bug,20,1.0,False
Paras,31.0,Slash,Normal,70,1.0,True
Paras,43.0,Giga Drain,Grass,60,1.0,False
Paras,,Cut,Normal,50,0.95,False
Paras,,Rock Smash,Fighting,20,1.0,False
Paras,,Hidden Power,Normal,60,1.0,False
Paras,,Snore,Normal,40,1.0,False
Paras,,Return,Normal,102,1.0,False
Paras,,Dig,Ground,60,1.0,False
Paras,,Sludge Bomb,Poison,90,1.0,False
Paras,,Thief,Dark,40,1.0,False
Paras,,Fury Cutter,Bug,10,0.95,False
Parasect,1.0,Scratch,Normal,40,1.0,False
Parasect,19.0,Leech Life,Bug,20,1.0,False
Parasect,37.0,Slash,Normal,70,1.0,True
Parasect,55.0,Giga Drain,Grass,60,1.0,False
Parasect,,Cut,Normal,50,0.95,False
Parasect,,Rock Smash,Fighting,20,1.0,False
Parasect,,Hidden Power,Normal,60,1.0,False
Parasect,,Snore,Normal,40,1.0,False
Parasect,,Hyper Beam,Normal,75,0.9,False
Parasect,,Return,Normal,102,1.0,False
Parasect,,Dig,Ground,60,1.0,False
Parasect,,Sludge Bomb,Poison,90,1.0,False
Parasect,,Thief,Dark,40,1.0,False
Parasect,,Fury Cutter,Bug,10,0.95,False
Venonat,1.0,Tackle,Normal,35,0.95,False
Venonat,17.0,Confusion,Psychic,50,1.0,False
Venonat,25.0,Leech Life,Bug,20,1.0,False
Venonat,33.0,Psybeam,Psychic,65,1.0,False
Venonat,41.0,Psychic,Psychic,90,1.0,False
Venonat,,Hidden Power,Normal,60,1.0,False
Venonat,,Snore,Normal,40,1.0,False
Venonat,,Giga Drain,Grass,60,1.0,False
Venonat,,Return,Normal,102,1.0,False
Venonat,,Sludge Bomb,Poison,90,1.0,False
Venonat,,Swift,Normal,60,1.0,False
Venonat,,Thief,Dark,40,1.0,False
Venomoth,1.0,Tackle,Normal,35,0.95,False
Venomoth,17.0,Confusion,Psychic,50,1.0,False
Venomoth,25.0,Leech Life,Bug,20,1.0,False
Venomoth,31.0,Gust,Flying,40,1.0,False
Venomoth,36.0,Psybeam,Psychic,65,1.0,False
Venomoth,52.0,Psychic,Psychic,90,1.0,False
Venomoth,,Hidden Power,Normal,60,1.0,False
Venomoth,,Snore,Normal,40,1.0,False
Venomoth,,Hyper Beam,Normal,75,0.9,False
Venomoth,,Giga Drain,Grass,60,1.0,False
Venomoth,,Return,Normal,102,1.0,False
Venomoth,,Sludge Bomb,Poison,90,1.0,False
Venomoth,,Swift,Normal,60,1.0,False
Venomoth,,Thief,Dark,40,1.0,False
Diglett,1.0,Scratch,Normal,40,1.0,False
Diglett,17.0,Dig,Ground,60,1.0,False
Diglett,33.0,Slash,Normal,70,1.0,True
Diglett,41.0,Earthquake,Ground,100,1.0,False
Diglett,,Cut,Normal,50,0.95,False
Diglett,,Rock Smash,Fighting,20,1.0,False
Diglett,,Hidden Power,Normal,60,1.0,False
Diglett,,Snore,Normal,40,1.0,False
Diglett,,Return,Normal,102,1.0,False
Diglett,,Mud-Slap,Ground,20,1.0,False
Diglett,,Sludge Bomb,Poison,90,1.0,False
Diglett,,Thief,Dark,40,1.0,False
Dugtrio,1.0,Scratch,Normal,40,1.0,False
Dugtrio,17.0,Dig,Ground,60,1.0,False
Dugtrio,37.0,Slash,Normal,70,1.0,True
Dugtrio,49.0,Earthquake,Ground,100,1.0,False
Dugtrio,,Cut,Normal,50,0.95,False
Dugtrio,,Rock Smash,Fighting,20,1.0,False
Dugtrio,,Hidden Power,Normal,60,1.0,False
Dugtrio,,Snore,Normal,40,1.0,False
Dugtrio,,Hyper Beam,Normal,75,0.9,False
Dugtrio,,Return,Normal,102,1.0,False
Dugtrio,,Mud-Slap,Ground,20,1.0,False
Dugtrio,,Sludge Bomb,Poison,90,1.0,False
Dugtrio,,Thief,Dark,40,1.0,False
Dugtrio,1.0,Tri Attack,Normal,80,1.0,False
Meowth,1.0,Scratch,Normal,40,1.0,False
Meowth,11.0,Bite,Dark,60,1.0,False
Meowth,20.0,Pay Day,Normal,40,1.0,False
Meowth,28.0,Faint Attack,Dark,60,1.0,False
Meowth,41.0,Fury Swipes,Normal,54,0.8,False
Meowth,46.0,Slash,Normal,70,1.0,True
Meowth,,Headbutt,Normal,70,1.0,False
Meowth,,Zap Cannon,Electric,100,0.5,False
Meowth,,Hidden Power,Normal,60,1.0,False
Meowth,,Snore,Normal,40,1.0,False
Meowth,,Icy Wind,Ice,55,0.95,False
Meowth,,Iron Tail,Steel,100,0.75,False
Meowth,,Thunder,Electric,120,0.7,False
Meowth,,Return,Normal,102,1.0,False
Meowth,,Shadow Ball,Ghost,80,1.0,False
Meowth,,Mud-Slap,Ground,20,1.0,False
Meowth,,Swift,Normal,60,1.0,False
Meowth,,Thief,Dark,40,1.0,False
Persian,1.0,Bite,Dark,60,1.0,False
Persian,1.0,Scratch,Normal,40,1.0,False
Persian,20.0,Pay Day,Normal,40,1.0,False
Persian,29.0,Faint Attack,Dark,60,1.0,False
Persian,46.0,Fury Swipes,Normal,54,0.8,False
Persian,53.0,Slash,Normal,70,1.0,True
Persian,,Headbutt,Normal,70,1.0,False
Persian,,Zap Cannon,Electric,100,0.5,False
Persian,,Hidden Power,Normal,60,1.0,False
Persian,,Snore,Normal,40,1.0,False
Persian,,Hyper Beam,Normal,75,0.9,False
Persian,,Icy Wind,Ice,55,0.95,False
Persian,,Iron Tail,Steel,100,0.75,False
Persian,,Thunder,Electric,120,0.7,False
Persian,,Return,Normal,102,1.0,False
Persian,,Shadow Ball,Ghost,80,1.0,False
Persian,,Mud-Slap,Ground,20,1.0,False
Persian,,Swift,Normal,60,1.0,False
Persian,,Thief,Dark,40,1.0,False
Psyduck,1.0,Scratch,Normal,40,1.0,False
Psyduck,16.0,Confusion,Psychic,50,1.0,False
Psyduck,40.0,Fury Swipes,Normal,54,0.8,False
Psyduck,50.0,Hydro Pump,Water,120,0.8,False
Psyduck,,Surf,Water,95,1.0,False
Psyduck,,Strength,Normal,80,1.0,False
Psyduck,,Whirlpool,Water,15,0.7,False
Psyduck,,Waterfall,Water,80,1.0,False
Psyduck,,DynamicPunch,Fighting,100,0.5,False
Psyduck,,Headbutt,Normal,70,1.0,False
Psyduck,,Rock Smash,Fighting,20,1.0,False
Psyduck,,Hidden Power,Normal,60,1.0,False
Psyduck,,Snore,Normal,40,1.0,False
Psyduck,,Blizzard,Ice,120,0.7,False
Psyduck,,Icy Wind,Ice,55,0.95,False
Psyduck,,Iron Tail,Steel,100,0.75,False
Psyduck,,Return,Normal,102,1.0,False
Psyduck,,Dig,Ground,60,1.0,False
Psyduck,,Mud-Slap,Ground,20,1.0,False
Psyduck,,Ice Punch,Ice,75,1.0,False
Psyduck,,Swift,Normal,60,1.0,False
Golduck,1.0,Confusion,Psychic,50,1.0,False
Golduck,1.0,Scratch,Normal,40,1.0,False
Golduck,44.0,Fury Swipes,Normal,54,0.8,False
Golduck,58.0,Hydro Pump,Water,120,0.8,False
Golduck,,Surf,Water,95,1.0,False
Golduck,,Strength,Normal,80,1.0,False
Golduck,,Whirlpool,Water,15,0.7,False
Golduck,,Waterfall,Water,80,1.0,False
Golduck,,DynamicPunch,Fighting,100,0.5,False
Golduck,,Headbutt,Normal,70,1.0,False
Golduck,,Rock Smash,Fighting,20,1.0,False
Golduck,,Hidden Power,Normal,60,1.0,False
Golduck,,Snore,Normal,40,1.0,False
Golduck,,Blizzard,Ice,120,0.7,False
Golduck,,Hyper Beam,Normal,75,0.9,False
Golduck,,Icy Wind,Ice,55,0.95,False
Golduck,,Iron Tail,Steel,100,0.75,False
Golduck,,Return,Normal,102,1.0,False
Golduck,,Dig,Ground,60,1.0,False
Golduck,,Mud-Slap,Ground,20,1.0,False
Golduck,,Ice Punch,Ice,75,1.0,False
Golduck,,Swift,Normal,60,1.0,False
Golduck,,Fury Cutter,Bug,10,0.95,False
Mankey,1.0,Scratch,Normal,40,1.0,False
Mankey,9.0,Low Kick,Fighting,50,0.9,False
Mankey,15.0,Karate Chop,Fighting,50,1.0,True
Mankey,21.0,Fury Swipes,Normal,54,0.8,False
Mankey,39.0,Cross Chop,Fighting,100,0.8,True
Mankey,51.0,Thrash,Normal,90,1.0,False
Mankey,,Strength,Normal,80,1.0,False
Mankey,,DynamicPunch,Fighting,100,0.5,False
Mankey,,Headbutt,Normal,70,1.0,False
Mankey,,Rock Smash,Fighting,20,1.0,False
Mankey,,Hidden Power,Normal,60,1.0,False
Mankey,,Snore,Normal,40,1.0,False
Mankey,,Iron Tail,Steel,100,0.75,False
Mankey,,Thunder,Electric,120,0.7,False
Mankey,,Return,Normal,102,1.0,False
Mankey,,Dig,Ground,60,1.0,False
Mankey,,Mud-Slap,Ground,20,1.0,False
Mankey,,Ice Punch,Ice,75,1.0,False
Mankey,,Swift,Normal,60,1.0,False
Mankey,,ThunderPunch,Electric,75,1.0,False
Mankey,,Thief,Dark,40,1.0,False
Mankey,,Fire Punch,Fire,75,1.0,False
Primeape,1.0,Low Kick,Fighting,50,0.9,False
Primeape,1.0,Rage,Normal,20,1.0,False
Primeape,1.0,Scratch,Normal,40,1.0,False
Primeape,15.0,Karate Chop,Fighting,50,1.0,True
Primeape,21.0,Fury Swipes,Normal,54,0.8,False
Primeape,45.0,Cross Chop,Fighting,100,0.8,True
Primeape,63.0,Thrash,Normal,90,1.0,False
Primeape,,Strength,Normal,80,1.0,False
Primeape,,DynamicPunch,Fighting,100,0.5,False
Primeape,,Headbutt,Normal,70,1.0,False
Primeape,,Rock Smash,Fighting,20,1.0,False
Primeape,,Hidden Power,Normal,60,1.0,False
Primeape,,Snore,Normal,40,1.0,False
Primeape,,Hyper Beam,Normal,75,0.9,False
Primeape,,Iron Tail,Steel,100,0.75,False
Primeape,,Thunder,Electric,120,0.7,False
Primeape,,Return,Normal,102,1.0,False
Primeape,,Dig,Ground,60,1.0,False
Primeape,,Mud-Slap,Ground,20,1.0,False
Primeape,,Ice Punch,Ice,75,1.0,False
Primeape,,Swift,Normal,60,1.0,False
Primeape,,ThunderPunch,Electric,75,1.0,False
Primeape,,Thief,Dark,40,1.0,False
Primeape,,Fire Punch,Fire,75,1.0,False
Growlithe,1.0,Bite,Dark,60,1.0,False
Growlithe,9.0,Ember,Fire,40,1.0,False
Growlithe,34.0,Flame Wheel,Fire,60,1.0,False
Growlithe,50.0,Flamethrower,Fire,95,1.0,False
Growlithe,,Headbutt,Normal,70,1.0,False
Growlithe,,Rock Smash,Fighting,20,1.0,False
Growlithe,,Hidden Power,Normal,60,1.0,False
Growlithe,,Snore,Normal,40,1.0,False
Growlithe,,Iron Tail,Steel,100,0.75,False
Growlithe,,DragonBreath,Dragon,60,1.0,False
Growlithe,,Return,Normal,102,1.0,False
Growlithe,,Dig,Ground,60,1.0,False
Growlithe,,Fire Blast,Fire,120,0.85,False
Growlithe,,Swift,Normal,60,1.0,False
Arcanine,1.0,Flame Wheel,Fire,60,1.0,False
Arcanine,50.0,ExtremeSpeed,Normal,80,1.0,False
Arcanine,,Headbutt,Normal,70,1.0,False
Arcanine,,Rock Smash,Fighting,20,1.0,False
Arcanine,,Hidden Power,Normal,60,1.0,False
Arcanine,,Snore,Normal,40,1.0,False
Arcanine,,Hyper Beam,Normal,75,0.9,False
Arcanine,,Iron Tail,Steel,100,0.75,False
Arcanine,,DragonBreath,Dragon,60,1.0,False
Arcanine,,Return,Normal,102,1.0,False
Arcanine,,Dig,Ground,60,1.0,False
Arcanine,,Fire Blast,Fire,120,0.85,False
Arcanine,,Swift,Normal,60,1.0,False
Poliwag,1.0,Bubble,Water,20,1.0,False
Poliwag,13.0,Water Gun,Water,40,1.0,False
Poliwag,19.0,DoubleSlap,Normal,15,0.85,False
Poliwag,31.0,Body Slam,Normal,85,1.0,False
Poliwag,43.0,Hydro Pump,Water,120,0.8,False
Poliwag,,Surf,Water,95,1.0,False
Poliwag,,Whirlpool,Water,15,0.7,False
Poliwag,,Waterfall,Water,80,1.0,False
Poliwag,,Headbutt,Normal,70,1.0,False
Poliwag,,Hidden Power,Normal,60,1.0,False
Poliwag,,Snore,Normal,40,1.0,False
Poliwag,,Blizzard,Ice,120,0.7,False
Poliwag,,Icy Wind,Ice,55,0.95,False
Poliwag,,Return,Normal,102,1.0,False
Poliwag,,Psychic,Psychic,90,1.0,False
Poliwag,,Thief,Dark,40,1.0,False
Poliwhirl,1.0,Bubble,Water,20,1.0,False
Poliwhirl,1.0,Water Gun,Water,40,1.0,False
Poliwhirl,19.0,DoubleSlap,Normal,15,0.85,False
Poliwhirl,35.0,Body Slam,Normal,85,1.0,False
Poliwhirl,51.0,Hydro Pump,Water,120,0.8,False
Poliwhirl,,Surf,Water,95,1.0,False
Poliwhirl,,Strength,Normal,80,1.0,False
Poliwhirl,,Whirlpool,Water,15,0.7,False
Poliwhirl,,Waterfall,Water,80,1.0,False
Poliwhirl,,Headbutt,Normal,70,1.0,False
Poliwhirl,,Rock Smash,Fighting,20,1.0,False
Poliwhirl,,Hidden Power,Normal,60,1.0,False
Poliwhirl,,Snore,Normal,40,1.0,False
Poliwhirl,,Blizzard,Ice,120,0.7,False
Poliwhirl,,Icy Wind,Ice,55,0.95,False
Poliwhirl,,Earthquake,Ground,100,1.0,False
Poliwhirl,,Return,Normal,102,1.0,False
Poliwhirl,,Psychic,Psychic,90,1.0,False
Poliwhirl,,Mud-Slap,Ground,20,1.0,False
Poliwhirl,,Ice Punch,Ice,75,1.0,False
Poliwhirl,,Thief,Dark,40,1.0,False
Poliwrath,1.0,DoubleSlap,Normal,15,0.85,False
Poliwrath,1.0,Water Gun,Water,40,1.0,False
Poliwrath,,Surf,Water,95,1.0,False
Poliwrath,,Strength,Normal,80,1.0,False
Poliwrath,,Whirlpool,Water,15,0.7,False
Poliwrath,,Waterfall,Water,80,1.0,False
Poliwrath,,DynamicPunch,Fighting,100,0.5,False
Poliwrath,,Headbutt,Normal,70,1.0,False
Poliwrath,,Rock Smash,Fighting,20,1.0,False
Poliwrath,,Hidden Power,Normal,60,1.0,False
Poliwrath,,Snore,Normal,40,1.0,False
Poliwrath,,Blizzard,Ice,120,0.7,False
Poliwrath,,Hyper Beam,Normal,75,0.9,False
Poliwrath,,Icy Wind,Ice,55,0.95,False
Poliwrath,,Earthquake,Ground,100,1.0,False
Poliwrath,,Return,Normal,102,1.0,False
Poliwrath,,Psychic,Psychic,90,1.0,False
Poliwrath,,Mud-Slap,Ground,20,1.0,False
Poliwrath,,Ice Punch,Ice,75,1.0,False
Poliwrath,,Thief,Dark,40,1.0,False
Abra,,DynamicPunch,Fighting,100,0.5,False
Abra,,Headbutt,Normal,70,1.0,False
Abra,,Zap Cannon,Electric,100,0.5,False
Abra,,Hidden Power,Normal,60,1.0,False
Abra,,Snore,Normal,40,1.0,False
Abra,,Return,Normal,102,1.0,False
Abra,,Psychic,Psychic,90,1.0,False
Abra,,Shadow Ball,Ghost,80,1.0,False
Abra,,Ice Punch,Ice,75,1.0,False
Abra,,ThunderPunch,Electric,75,1.0,False
Abra,,Thief,Dark,40,1.0,False
Abra,,Fire Punch,Fire,75,1.0,False
Kadabra,1.0,Confusion,Psychic,50,1.0,False
Kadabra,21.0,Psybeam,Psychic,65,1.0,False
Kadabra,31.0,Future Sight,Psychic,80,0.9,False
Kadabra,38.0,Psychic,Psychic,90,1.0,False
Kadabra,,DynamicPunch,Fighting,100,0.5,False
Kadabra,,Headbutt,Normal,70,1.0,False
Kadabra,,Zap Cannon,Electric,100,0.5,False
Kadabra,,Hidden Power,Normal,60,1.0,False
Kadabra,,Snore,Normal,40,1.0,False
Kadabra,,Return,Normal,102,1.0,False
Kadabra,,Dig,Ground,60,1.0,False
Kadabra,,Shadow Ball,Ghost,80,1.0,False
Kadabra,,Ice Punch,Ice,75,1.0,False
Kadabra,,ThunderPunch,Electric,75,1.0,False
Kadabra,,Thief,Dark,40,1.0,False
Kadabra,,Fire Punch,Fire,75,1.0,False
Alakazam,1.0,Confusion,Psychic,50,1.0,False
Alakazam,21.0,Psybeam,Psychic,65,1.0,False
Alakazam,31.0,Future Sight,Psychic,80,0.9,False
Alakazam,38.0,Psychic,Psychic,90,1.0,False
Alakazam,,DynamicPunch,Fighting,100,0.5,False
Alakazam,,Headbutt,Normal,70,1.0,False
Alakazam,,Zap Cannon,Electric,100,0.5,False
Alakazam,,Hidden Power,Normal,60,1.0,False
Alakazam,,Snore,Normal,40,1.0,False
Alakazam,,Hyper Beam,Normal,75,0.9,False
Alakazam,,Return,Normal,102,1.0,False
Alakazam,,Dig,Ground,60,1.0,False
Alakazam,,Shadow Ball,Ghost,80,1.0,False
Alakazam,,Ice Punch,Ice,75,1.0,False
Alakazam,,ThunderPunch,Electric,75,1.0,False
Alakazam,,Thief,Dark,40,1.0,False
Alakazam,,Fire Punch,Fire,75,1.0,False
Machop,1.0,Low Kick,Fighting,50,0.9,False
Machop,13.0,Karate Chop,Fighting,50,1.0,True
Machop,31.0,Vital Throw,Fighting,70,1.0,False
Machop,37.0,Cross Chop,Fighting,100,0.8,True
Machop,,Strength,Normal,80,1.0,False
Machop,,DynamicPunch,Fighting,100,0.5,False
Machop,,Headbutt,Normal,70,1.0,False
Machop,,Rock Smash,Fighting,20,1.0,False
Machop,,Hidden Power,Normal,60,1.0,False
Machop,,Snore,Normal,40,1.0,False
Machop,,Earthquake,Ground,100,1.0,False
Machop,,Return,Normal,102,1.0,False
Machop,,Dig,Ground,60,1.0,False
Machop,,Mud-Slap,Ground,20,1.0,False
Machop,,Ice Punch,Ice,75,1.0,False
Machop,,Fire Blast,Fire,120,0.85,False
Machop,,ThunderPunch,Electric,75,1.0,False
Machop,,Thief,Dark,40,1.0,False
Machop,,Fire Punch,Fire,75,1.0,False
Machoke,1.0,Low Kick,Fighting,50,0.9,False
Machoke,15.0,Karate Chop,Fighting,50,1.0,True
Machoke,34.0,Vital Throw,Fighting,70,1.0,False
Machoke,43.0,Cross Chop,Fighting,100,0.8,True
Machoke,,Strength,Normal,80,1.0,False
Machoke,,DynamicPunch,Fighting,100,0.5,False
Machoke,,Headbutt,Normal,70,1.0,False
Machoke,,Rock Smash,Fighting,20,1.0,False
Machoke,,Hidden Power,Normal,60,1.0,False
Machoke,,Snore,Normal,40,1.0,False
Machoke,,Earthquake,Ground,100,1.0,False
Machoke,,Return,Normal,102,1.0,False
Machoke,,Dig,Ground,60,1.0,False
